Page Name,URL,Path,Page Category,Page Type,Meta Title,Title Length,Title Length Status,Meta Description,Description Length,Description Length Status,H1,H1 Present,H1 vs Title Alignment,Focus Keyword,Keywords,Robots,Canonical Tag,OG Tags,OG Type,OG Image,Twitter Tags,JSON-LD Types,In Sitemap,SEO Component,SEO Score (/100),Grade,Issues,Recommendations,Notes
Draft vs Published: When to Ship AI Content,https://contentai.example/blog/draft-vs-published-ai-content,/blog/draft-vs-published-ai-content,Marketing,Blog post,Draft vs Published AI Content Workflow | Content AI,51,Good,Draft vs published workflow for AI blogs — review before ship or auto-publish from Auto Blog settings depending on your editorial and compliance needs.,151,Good,Draft vs Published: When to Ship AI Content,Yes,Partial,AI blog draft publish,AI blog draft publish,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Facebook Posts for Community and Page Updates,https://contentai.example/blog/facebook-posts-community-page-updates,/blog/facebook-posts-community-page-updates,Marketing,Blog post,Facebook Posts for Pages and Communities | Content AI,53,Good,"Generate Facebook page posts with Content AI — friendly tone, hashtags, and optional AI images for community updates and marketing announcements. Practical.",156,Good,Facebook Posts for Community and Page Updates,Yes,Partial,Facebook AI post generator,Facebook AI post generator,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Why FAQ Sections Boost SEO and Reader Trust,https://contentai.example/blog/faq-sections-seo-reader-trust,/blog/faq-sections-seo-reader-trust,Marketing,Blog post,FAQ Sections for SEO and Reader Trust | Content AI,50,Good,"FAQ sections in AI blog posts improve SEO snippets, reader trust, and time on page — Auto Blog includes them by default in structured HTML exports....",150,Good,Why FAQ Sections Boost SEO and Reader Trust,Yes,Partial,FAQ section SEO blog,FAQ section SEO blog,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Featured Images for Blog SEO and Social Sharing,https://contentai.example/blog/featured-images-blog-seo-social,/blog/featured-images-blog-seo-social,Marketing,Blog post,Featured Images for Blog SEO and Social | Content AI,52,Good,"Enable AI featured images in Auto Blog for better SEO snippets, social previews, and on-page engagement when publishing long-form articles to your site.",152,Good,Featured Images for Blog SEO and Social Sharing,Yes,Match,blog featured image SEO,blog featured image SEO,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,95,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Getting Started with Auto Blog on Content AI,https://contentai.example/blog/getting-started-auto-blog-content-ai,/blog/getting-started-auto-blog-content-ai,Marketing,Blog post,Getting Started with Auto Blog on Content AI | Content AI,57,Good,"Get started with Content AI Auto Blog — categories, topics, API keys, and your first generated post explained for new users setting up a workspace....",150,Good,Getting Started with Auto Blog on Content AI,Yes,Match,auto blog setup,auto blog setup,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,95,A,Indexable but missing from sitemap.xml; Meta title repeats brand (seoTitle already includes | Content AI),Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Google Gemini for Fast Content Drafts,https://contentai.example/blog/google-gemini-fast-content-drafts,/blog/google-gemini-fast-content-drafts,Marketing,Blog post,Google Gemini for Fast Content Drafts | Content AI,50,Good,"Use Google Gemini for fast AI content drafts on Content AI — blogs, social posts, and topic generation when speed and cost efficiency matter most. Practical.",157,Good,Google Gemini for Fast Content Drafts,Yes,Match,Google Gemini content AI,Google Gemini content AI,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,95,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Importing Category Packs for Faster Workspace Setup,https://contentai.example/blog/importing-category-packs-workspace-setup,/blog/importing-category-packs-workspace-setup,Marketing,Blog post,Import Category Packs for Workspace Setup | Content AI,54,Good,"Import category packs in Content AI for faster Auto Blog and Social Content workspace setup with pre-built prompts, topics, and tone defaults. Practical.",153,Good,Importing Category Packs for Faster Workspace Setup,Yes,Partial,category pack import,category pack import,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Writing Instagram Captions That Convert with AI,https://contentai.example/blog/instagram-captions-convert-ai,/blog/instagram-captions-convert-ai,Marketing,Blog post,Instagram Captions That Convert with AI | Content AI,52,Good,"Write Instagram captions with AI — hooks, line breaks, hashtags, and square post images on Content AI for creators who publish visual social content..",150,Good,Writing Instagram Captions That Convert with AI,Yes,Match,Instagram captions AI,Instagram captions AI,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,95,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
LinkedIn Content Strategy for B2B Teams,https://contentai.example/blog/linkedin-content-strategy-b2b,/blog/linkedin-content-strategy-b2b,Marketing,Blog post,LinkedIn B2B Content Strategy on Content AI | Content AI,56,Good,"B2B LinkedIn content strategy using Content AI — hooks, professional tone, and topic batches for consistent posting from one AI content workspace. Practical.",157,Good,LinkedIn Content Strategy for B2B Teams,Yes,Partial,LinkedIn B2B content AI,LinkedIn B2B content AI,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml; Meta title repeats brand (seoTitle already includes | Content AI),Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Markdown vs HTML: Best Export Format for Your CMS,https://contentai.example/blog/markdown-vs-html-export-cms,/blog/markdown-vs-html-export-cms,Marketing,Blog post,Markdown vs HTML Export Guide for CMS Teams | Content AI,56,Good,"Markdown vs HTML exports from Content AI — which format to use for WordPress, Ghost, Notion, and static site generators when publishing AI blog drafts.",151,Good,Markdown vs HTML: Best Export Format for Your CMS,Yes,Partial,export blog HTML Markdown,export blog HTML Markdown,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Multi-Step Blog Generation: What Is Coming Next,https://contentai.example/blog/multi-step-blog-generation-roadmap,/blog/multi-step-blog-generation-roadmap,Marketing,Blog post,Multi-Step Blog Generation on Content AI | Content AI,53,Good,"Multi-step blog generation on Content AI — plan, opening, body, and closing prompts explained for teams building repeatable long-form content pipelines.",152,Good,Multi-Step Blog Generation: What Is Coming Next,Yes,Partial,multi step AI blog,multi step AI blog,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml; Meta title repeats brand (seoTitle already includes | Content AI),Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
OpenAI vs Anthropic for Content Creation,https://contentai.example/blog/openai-vs-anthropic-content-creation,/blog/openai-vs-anthropic-content-creation,Marketing,Blog post,OpenAI vs Anthropic for Content Guide | Content AI,50,Good,"OpenAI GPT vs Anthropic Claude for blog writing — strengths, trade-offs, and when to use each model inside your Content AI auto blog workspace. Practical.",154,Good,OpenAI vs Anthropic for Content Creation,Yes,Partial,OpenAI vs Anthropic,OpenAI vs Anthropic,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
"Privacy and Control: Your Keys, Your Data",https://contentai.example/blog/privacy-control-your-keys-your-data,/blog/privacy-control-your-keys-your-data,Marketing,Blog post,Privacy and Control on Content AI Guide | Content AI,52,Good,"Content AI privacy model — your API keys, your provider relationship, and what the platform stores for your account, drafts, and billing history. Practical.",156,Good,"Privacy and Control: Your Keys, Your Data",Yes,Partial,AI content privacy,AI content privacy,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml; Meta title repeats brand (seoTitle already includes | Content AI),Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Publishing Auto Blog Drafts to WordPress,https://contentai.example/blog/publish-auto-blog-drafts-wordpress,/blog/publish-auto-blog-drafts-wordpress,Marketing,Blog post,Publish Auto Blog Drafts to WordPress | Content AI,50,Good,"Publish Auto Blog drafts to WordPress — copy HTML, SEO fields, slug, and featured image from Content AI into posts with minimal manual formatting work.",151,Good,Publishing Auto Blog Drafts to WordPress,Yes,Partial,WordPress AI blog export,WordPress AI blog export,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Repurposing One Blog Post into a Week of Social Content,https://contentai.example/blog/repurpose-blog-into-social-content,/blog/repurpose-blog-into-social-content,Marketing,Blog post,Repurpose Blog Posts into Social Content | Content AI,53,Good,"Repurpose blog posts into LinkedIn, X, and Instagram content using Content AI Social Media Content without rewriting every caption from scratch. Practical.",155,Good,Repurposing One Blog Post into a Week of Social Content,Yes,Partial,repurpose blog social media,repurpose blog social media,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
5 Ways to Scale Content Without Burning Your Budget,https://contentai.example/blog/scale-content-without-burning-budget,/blog/scale-content-without-burning-budget,Marketing,Blog post,Scale Content on a Budget with Content AI | Content AI,54,Good,"Five practical ways to scale blog and marketing content on a budget using Content AI credits, batch topics, reusable categories, and smart exports....",150,Good,5 Ways to Scale Content Without Burning Your Budget,Yes,Partial,scale content marketing,scale content marketing,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml; Meta title repeats brand (seoTitle already includes | Content AI),Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
How to Write SEO-Friendly Blog Posts with AI,https://contentai.example/blog/seo-friendly-blog-posts-with-ai,/blog/seo-friendly-blog-posts-with-ai,Marketing,Blog post,SEO-Friendly Blog Posts with AI Guide | Content AI,50,Good,"Step-by-step guide to creating SEO-friendly blog posts with AI — structure, keywords, meta tags, and publish-ready HTML exports for your CMS. Practical tips.",157,Good,How to Write SEO-Friendly Blog Posts with AI,Yes,Partial,SEO friendly blog AI,SEO friendly blog AI,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
"Social Media Content: One Brief, Every Platform",https://contentai.example/blog/social-media-content-one-brief-every-platform,/blog/social-media-content-one-brief-every-platform,Marketing,Blog post,Social Media Content from One Brief Guide | Content AI,54,Good,"Create LinkedIn, X, Instagram, and Facebook posts from one brief using Content AI Social Media Content with platform-native tone, length, and hashtags.",151,Good,"Social Media Content: One Brief, Every Platform",Yes,Partial,social media AI content,social media AI content,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Building a Solo Creator Content Workflow,https://contentai.example/blog/solo-creator-content-workflow,/blog/solo-creator-content-workflow,Marketing,Blog post,Solo Creator Content Workflow on Content AI | Content AI,56,Good,"A solo creator content workflow using Content AI — weekly planning, AI drafts, light editing, and a publish checklist for one-person marketing teams..",150,Good,Building a Solo Creator Content Workflow,Yes,Partial,content workflow solo creator,content workflow solo creator,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml; Meta title repeats brand (seoTitle already includes | Content AI),Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Getting Help: Support Tickets from Your Account,https://contentai.example/blog/support-tickets-account-help,/blog/support-tickets-account-help,Marketing,Blog post,Account Support Tickets on Content AI | Content AI,50,Good,"Open support tickets from your Content AI account for billing, API, and generation help. Authenticated users get responses from the support team. Practical.",156,Good,Getting Help: Support Tickets from Your Account,Yes,Partial,Content AI support,Content AI support,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml; Meta title repeats brand (seoTitle already includes | Content AI),Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
10 Checks Before You Publish Any AI Draft,https://contentai.example/blog/ten-checks-before-publish-ai-draft,/blog/ten-checks-before-publish-ai-draft,Marketing,Blog post,Ten Checks Before Publishing AI Drafts | Content AI,51,Good,"Ten checks before publishing AI blog or social drafts — facts, SEO fields, images, tone, links, and compliance steps before you ship content live. Practical.",157,Good,10 Checks Before You Publish Any AI Draft,Yes,Partial,AI content QA checklist,AI content QA checklist,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Topic Queues: Batch Ideas Before You Generate,https://contentai.example/blog/topic-queues-batch-blog-ideas,/blog/topic-queues-batch-blog-ideas,Marketing,Blog post,Topic Queues for Auto Blog Planning Guide | Content AI,54,Good,"Use Auto Blog topic queues to batch ideas, generate posts on demand, and track pending or used topics without losing momentum in your content calendar.",151,Good,Topic Queues: Batch Ideas Before You Generate,Yes,Partial,AI blog topic queue,AI blog topic queue,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Tracking Usage and Credits in Your Account Dashboard,https://contentai.example/blog/tracking-usage-credits-dashboard,/blog/tracking-usage-credits-dashboard,Marketing,Blog post,Track Usage and Credits in Your Dashboard | Content AI,54,Good,"Track Content AI usage, credits, and billing from your account dashboard — daily stats, generation history, and purchase records in one place. Practical.",153,Good,Tracking Usage and Credits in Your Account Dashboard,Yes,Partial,content AI usage credits,content AI usage credits,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Understanding Content Credits on Content AI,https://contentai.example/blog/understanding-content-credits,/blog/understanding-content-credits,Marketing,Blog post,Understanding Content Credits on Content AI | Content AI,56,Good,"Learn how Content AI credits work — free signup credit, one-dollar top-ups, and what counts as one content piece when you generate blogs or social posts.",153,Good,Understanding Content Credits on Content AI,Yes,Match,content credits,content credits,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,95,A,Indexable but missing from sitemap.xml; Meta title repeats brand (seoTitle already includes | Content AI),Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
X Threads and Short Posts from Topic Briefs,https://contentai.example/blog/x-threads-short-posts-topic-briefs,/blog/x-threads-short-posts-topic-briefs,Marketing,Blog post,X Threads and Short Posts from Briefs | Content AI,50,Good,"Create X posts and threads from topic briefs with Content AI — concise copy, optional wide images, and batches aligned to your social content calendar.",151,Good,X Threads and Short Posts from Topic Briefs,Yes,Partial,X Twitter AI content,X Twitter AI content,"index, follow",Yes,Yes,article,Yes,Yes,BreadcrumbList; BlogPosting,No,Yes,93,A,Indexable but missing from sitemap.xml,Add blog URLs to sitemap (dynamic sitemap recommended),Featured image set for OG
Careers,https://contentai.example/careers,/careers,Marketing,Static,Careers at Content AI — Join Our Remote Product Team,52,Good,"Explore careers at Content AI. We build AI content tools that put creators in control of API keys, budget, and brand voice. Remote-friendly async team.",151,Good,Build the future of AI content with us,Yes,Mismatch,,"Content AI careers, AI startup jobs, remote content AI jobs","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,
Contact,https://contentai.example/contact,/contact,Marketing,Content,"Contact Content AI — Support, Sales & Partnerships",50,Good,"Contact Content AI for help with credits, API keys, pricing, partnerships, or technical support. We respond within one to two business days by email, promptly.",159,Good,We're here to help you create,Yes,Mismatch,,"contact Content AI, Content AI support, AI content help, blog generator contact, Content AI sales","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList; ContactPage,Yes,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,
FAQ,https://contentai.example/faq,/faq,Marketing,Content,"FAQ & Help Center — Content AI Credits, API Keys & Services",59,Good,"Find answers about Content AI pricing credits, free plan, API keys, auto blog creation, exports, and support. Search the help center or browse by topic.",152,Good,Answers to your top questions,Yes,Mismatch,,"Content AI FAQ, AI content credits help, API keys blog generator, free content credit, Content AI help center","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList; FAQPage,Yes,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,
Guides,https://contentai.example/guides,/guides,Marketing,Static,"Content Guides — AI Writing, Auto Blog & Publishing Tips",56,Good,"Learn how to use Content AI with guides on API keys, auto blog creation, SEO exports, credits, publishing workflows, and social content best practices.",151,Good,Content guides & learning paths,Yes,Partial,,"AI content guides, auto blog tutorial, Content AI help resources","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,88,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,
Partnerships,https://contentai.example/partnerships,/partnerships,Marketing,Static,"Partnerships — Agencies, Integrations & Affiliates",50,Good,"Partner with Content AI for agency workflows, technology integrations, affiliate programs, and education. BYOK architecture fits resellers and platform teams.",158,Good,Partner with Content AI,Yes,Mismatch,,"Content AI partnerships, AI content reseller, agency AI integration","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,
Pricing,https://contentai.example/pricing,/pricing,Marketing,Content,Pricing — Free Content Credit and Pay-as-you-go Billing,55,Good,Start with one free content credit on signup. Top up at $1 per credit — one credit creates one content piece. No monthly subscription. Use your own AI API keys.,160,Good,"Start free, pay only for what you create",Yes,Mismatch,,"Content AI pricing, AI content credits, pay as you go blog generator, free AI blog trial, content creation credits","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,
Services,https://contentai.example/services,/services,Marketing,Landing,"AI Content Services — Blog Writing, Social & Email",50,Good,"Explore six AI content services: auto blog, social posts, SEO optimization, repurposing, newsletters, and scheduling with your own OpenAI or Anthropic API keys.",160,Good,"AI content tools, one platform",Yes,Mismatch,,"AI content services, automated blog writing, AI social media content, content repurposing tool, AI newsletter generator","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,
Status,https://contentai.example/status,/status,Marketing,Static,Platform Status — Content AI Service Health & Uptime,52,Good,"Check real-time operational status for the Content AI website, authentication, content generation, billing, payments, and support ticket systems in one place.",158,Good,Content AI platform health,Yes,Partial,,"Content AI status, platform uptime, service health","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,88,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,
Cookie policy,https://contentai.example/cookies,/cookies,Legal,Static,Cookie Policy — How Content AI Uses Cookies on Our Site,55,Good,"How Content AI uses essential, preference, and analytics cookies on our website and application. Learn what each cookie type does and how to manage preferences.",160,Good,Cookie Policy,Yes,Match,,"Content AI cookie policy, website cookies, tracking preferences","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,90,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,
Privacy policy,https://contentai.example/privacy,/privacy,Legal,Static,Privacy Policy — How Content AI Protects Your Account Data,58,Good,"Read how Content AI collects, uses, stores, and protects your account data, API keys, and generated content. Learn about retention, sharing, and choices.",153,Good,Privacy Policy,Yes,Match,,"Content AI privacy policy, data protection, API key privacy","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,90,A,Missing og:image / twitter:image,Add default OG image in SEO component or per-page image,
Security,https://contentai.example/security,/security,Legal,Static,Security Overview — How Content AI Protects Your Data,53,Good,"Learn about encryption, API key handling, access controls, incident response, and how to report security issues at Content AI for BYOK content workflows.",153,Good,Security at Content AI,Yes,Mismatch,,"Content AI security, API key encryption, data security","index, follow",Yes,Yes,website,No,Yes,BreadcrumbList,Yes,Yes,85,A,H1 does not closely match meta title; Missing og:image / twitter:image,Add default OG image in SEO component or per-page image; Align H1 with primary keyword from meta title,
